City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Joao Da Barra,BR,2022-04-11 15:45:16,-21.6403,-41.0511,84.29,67,10,9.33,clear sky
1,Saint Augustine,US,2022-04-11 15:49:25,29.8947,-81.3145,77.11,38,0,6.91,clear sky
2,Mahon,ES,2022-04-11 15:49:27,39.8885,4.2658,61.36,77,20,21.85,few clouds
3,Pisco,PE,2022-04-11 15:44:44,-13.7,-76.2167,73.45,60,0,14.97,clear sky
4,Hobart,AU,2022-04-11 15:47:38,-42.8794,147.3294,51.06,75,75,12.66,broken clouds
5,Saskylakh,RU,2022-04-11 15:49:28,71.9167,114.0833,-11.43,100,96,2.86,overcast clouds
6,Sitka,US,2022-04-11 15:48:39,57.0531,-135.33,35.49,41,40,25.32,scattered clouds
7,Hilo,US,2022-04-11 15:49:28,19.7297,-155.09,71.26,92,100,4.61,light rain
8,Ushuaia,AR,2022-04-11 15:46:05,-54.8,-68.3,44.22,87,75,19.57,broken clouds
9,Saint Pete Beach,US,2022-04-11 15:49:28,27.7253,-82.7412,79.09,55,0,8.05,clear sky
10,Busselton,AU,2022-04-11 15:49:29,-33.65,115.3333,58.51,80,5,10.67,clear sky
11,Burnie,AU,2022-04-11 15:49:29,-41.0667,145.9167,49.91,71,7,8.5,clear sky
12,Tasiilaq,GL,2022-04-11 15:49:29,65.6145,-37.6368,26.76,68,50,3.62,scattered clouds
13,Jamestown,US,2022-04-11 15:49:30,42.097,-79.2353,56.95,38,0,12.66,clear sky
14,Tautira,PF,2022-04-11 15:49:30,-17.7333,-149.15,80.04,77,24,13.15,light rain
15,Sembakung,ID,2022-04-11 15:49:30,3.8167,117.25,74.5,98,30,1.14,heavy intensity rain
16,East London,ZA,2022-04-11 15:49:31,-33.0153,27.9116,68.94,88,20,12.66,few clouds
17,Lorengau,PG,2022-04-11 15:49:31,-2.0226,147.2712,82.11,77,14,10.8,few clouds
18,Poum,NC,2022-04-11 15:49:31,-20.2333,164.0167,78.78,76,8,9.46,clear sky
19,Anloga,GH,2022-04-11 15:49:32,5.7947,0.8973,85.39,76,85,14.27,overcast clouds
20,Murdochville,CA,2022-04-11 15:49:32,48.9583,-65.5006,34.68,77,82,15.79,broken clouds
21,Torbay,CA,2022-04-11 15:49:32,47.6666,-52.7314,36.88,95,100,13.8,mist
